2325248.00,165402.00,0,18.00,31.00,165402.00,0
2325278.00,165403.00,0,3.00,57.00,165403.00,0
2325307.00,165404.00,0,11.00,30.00,165404.00,0
2325336.00,165405.00,0,18.00,16.00,165405.00,0
2325366.00,165406.00,0,1.00,28.00,165406.00,0
2325395.00,165407.00,0,10.00,12.00,165407.00,0
2325424.00,165408.00,0,21.00,16.00,165408.00,0
2325454.00,165409.00,0,11.00,7.00,165409.00,0
2325484.00,165410.00,0,3.00,42.00,165410.00,0
2325513.00,165411.00,0,22.00,29.00,165411.00,0
2325543.00,165412.00,0,18.00,9.00,165412.00,0
2325573.00,165501.00,0,12.00,54.00,165501.00,0
2325603.00,165502.00,0,5.00,2.00,165502.00,0
2325632.00,165503.00,0,17.00,50.00,165503.00,0
2325662.00,165504.00,0,3.00,38.00,165504.00,0
2325691.00,165505.00,0,11.00,27.00,165505.00,0
2325720.00,165506.00,0,18.00,24.00,165506.00,0
2325750.00,165507.00,0,1.00,30.00,165507.00,0
2325779.00,165508.00,0,9.00,37.00,165508.00,0
2325808.00,165509.00,0,19.00,28.00,165509.00,0
2325838.00,165510.00,0,7.00,48.00,165510.00,0
2325867.00,165511.00,0,23.00,7.00,165511.00,0
2325897.00,165512.00,0,17.00,17.00,165512.00,0
2325927.00,165601.00,0,12.00,58.00,165601.00,0
2325957.00,165602.00,0,8.00,8.00,165602.00,0
2325987.00,165603.00,0,0.00,59.00,165603.00,0
2326016.00,165604.00,0,14.00,50.00,165604.00,0
2326046.00,165605.00,0,1.00,56.00,165605.00,0
2326075.00,165605.00,1,10.00,59.00,165605.00,1
2326104.00,165606.00,0,18.00,49.00,165606.00,0
2326134.00,165607.00,0,2.00,12.00,165607.00,0
2326163.00,165608.00,0,10.00,1.00,165608.00,0
2326192.00,165609.00,0,19.00,11.00,165609.00,0
2326222.00,165610.00,0,6.00,35.00,165610.00,0
2326251.00,165611.00,0,20.00,44.00,165611.00,0
2326281.00,165612.00,0,13.00,25.00,165612.00,0
2326311.00,165701.00,0,7.00,33.00,165701.00,0
2326341.00,165702.00,0,1.00,43.00,165702.00,0
2326370.00,165703.00,0,18.00,44.00,165703.00,0
2326400.00,165704.00,0,9.00,49.00,165704.00,0
2326429.00,165705.00,0,22.00,42.00,165705.00,0
2326459.00,165706.00,0,9.00,25.00,165706.00,0
2326488.00,165707.00,0,18.00,28.00,165707.00,0
2326518.00,165708.00,0,2.00,39.00,165708.00,0
2326547.00,165709.00,0,10.00,59.00,165709.00,0
2326576.00,165710.00,0,20.00,25.00,165710.00,0
2326606.00,165711.00,0,7.00,32.00,165711.00,0
2326635.00,165712.00,0,20.00,25.00,165712.00,0
2326665.00,165801.00,0,10.00,50.00,165801.00,0
2326695.00,165802.00,0,2.00,24.00,165802.00,0
2326724.00,165803.00,0,18.00,46.00,165803.00,0
2326754.00,165804.00,0,11.00,18.00,165804.00,0
2326784.00,165805.00,0,3.00,10.00,165805.00,0
2326813.00,165806.00,0,17.00,30.00,165806.00,0
2326843.00,165807.00,0,5.00,57.00,165807.00,0
2326872.00,165808.00,0,16.00,45.00,165808.00,0
2326902.00,165809.00,0,2.00,41.00,165809.00,0
2326931.00,165810.00,0,12.00,34.00,165810.00,0
2326960.00,165811.00,0,22.00,54.00,165811.00,0
2326990.00,165812.00,0,9.00,49.00,165812.00,0
2327019.00,165901.00,0,21.00,15.00,165901.00,0
2327049.00,165902.00,0,9.00,17.00,165902.00,0
2327078.00,165903.00,0,22.00,19.00,165903.00,0
2327108.00,165903.00,1,12.00,33.00,165903.00,1
2327138.00,165904.00,0,3.00,46.00,165904.00,0
2327167.00,165905.00,0,19.00,17.00,165905.00,0
2327197.00,165906.00,0,10.00,20.00,165906.00,0
2327227.00,165907.00,0,0.00,30.00,165907.00,0
2327256.00,165908.00,0,13.00,47.00,165908.00,0
2327286.00,165909.00,0,2.00,21.00,165909.00,0
2327315.00,165910.00,0,14.00,17.00,165910.00,0
2327345.00,165911.00,0,1.00,35.00,165911.00,0
2327374.00,165912.00,0,12.00,16.00,165912.00,0
2327403.00,166001.00,0,22.00,34.00,166001.00,0
2327433.00,166002.00,0,8.00,57.00,166002.00,0
2327462.00,166003.00,0,19.00,56.00,166003.00,0
2327492.00,166004.00,0,7.00,51.00,166004.00,0
2327521.00,166005.00,0,20.00,52.00,166005.00,0
2327551.00,166006.00,0,10.00,58.00,166006.00,0
2327581.00,166007.00,0,2.00,3.00,166007.00,0
2327610.00,166008.00,0,17.00,50.00,166008.00,0
2327640.00,166009.00,0,9.00,47.00,166009.00,0
2327670.00,166010.00,0,1.00,6.00,166010.00,0
2327699.00,166011.00,0,15.00,3.00,166011.00,0
2327729.00,166012.00,0,3.00,25.00,166012.00,0
2327758.00,166101.00,0,14.00,23.00,166101.00,0
2327788.00,166102.00,0,0.00,23.00,166102.00,0
2327817.00,166103.00,0,9.00,49.00,166103.00,0
2327846.00,166104.00,0,19.00,3.00,166104.00,0
2327876.00,166105.00,0,4.00,35.00,166105.00,0
2327905.00,166106.00,0,15.00,8.00,166106.00,0
2327935.00,166107.00,0,3.00,29.00,166107.00,0
2327964.00,166108.00,0,18.00,8.00,166108.00,0
2327994.00,166109.00,0,10.00,54.00,166108.00,1
2328024.00,166110.00,0,4.00,45.00,166109.00,0
2328053.00,166111.00,0,22.00,12.00,166110.00,0
2328083.00,166112.00,0,14.00,9.00,166111.00,0
2328113.00,166201.00,0,4.00,7.00,166112.00,0
2328142.00,166201.00,1,16.00,8.00,166201.00,0
2328172.00,166202.00,0,2.00,22.00,166202.00,0
2328201.00,166203.00,0,11.00,5.00,166203.00,0
2328230.00,166204.00,0,18.00,47.00,166204.00,0
2328260.00,166205.00,0,2.00,25.00,166205.00,0
2328289.00,166206.00,0,11.00,7.00,166206.00,0
2328318.00,166207.00,0,22.00,2.00,166207.00,0
2328348.00,166208.00,0,11.00,51.00,166208.00,0
2328378.00,166209.00,0,4.00,26.00,166209.00,0
2328407.00,166210.00,0,22.00,50.00,166210.00,0
